full_name,selling_price,year,seller_type,km_driven,fuel_type,transmission_type,mileage,engine,max_power,seats
Hyundai Grand i10 CRDi Sportz,4.0,2016.0,Individual,60000,Diesel,Manual,24.0,1120.0,70.0,5.0
Toyota Innova 2.5 G (Diesel) 8 Seater,8.5,2013.0,Individual,40000,Diesel,Manual,12.99,2494.0,100.6,8.0
Volkswagen Polo 1.2 MPI Trendline,3.5,2015.0,Individual,60000,Petrol,Manual,16.47,1198.0,74.0,5.0
Land Rover Range Rover Evoque 2.2L Pure,21.0,2012.0,Dealer,70000,Diesel,Automatic,12.7,2179.0,187.7,5.0
Tata Indigo LX BSIV,2.7,2013.0,Individual,70000,Diesel,Manual,23.03,1396.0,69.0,5.0
Mahindra Scorpio 2006-2009 LX 2.6 Turbo 9 Str,3.0,2008.0,Individual,120000,Diesel,Manual,10.5,2609.0,120.0,9.0
Mahindra Scorpio EX,5.0,2012.0,Individual,147000,Diesel,Manual,14.0,2523.0,75.0,8.0
Renault Duster 85PS Diesel RxE Adventure,4.3,2014.0,Dealer,61251,Diesel,Manual,20.45,1461.0,83.8,5.0
Mahindra NuvoSport N6,6.5,2016.0,Individual,70000,Diesel,Manual,17.45,1493.0,100.0,7.0
Ford Figo 1.2P Titanium MT,4.2,2016.0,Individual,60000,Petrol,Manual,18.16,1196.0,86.8,5.0
Skoda Rapid 1.6 MPI AT Ambition,5.0,2012.0,Individual,120000,Petrol,Automatic,14.3,1598.0,105.0,5.0
Toyota Platinum Etios 1.4 VXD,7.0,2017.0,Individual,120000,Diesel,Manual,23.59,1364.0,67.04,5.0
Maruti Wagon R VXI Optional,4.0,2018.0,Individual,50000,Petrol,Manual,20.51,998.0,67.04,5.0
Fiat Palio 1.2 ELX,0.95585,2007.0,Individual,60000,Petrol,Manual,15.5,1242.0,5.0,5.0
Mercedes-Benz CLA 200 CDI Sport,19.5,2016.0,Dealer,38000,Diesel,Automatic,17.9,2143.0,136.0,5.0
Honda WR-V i-VTEC S,6.5,2017.0,Dealer,21000,Petrol,Manual,17.5,1199.0,88.7,5.0
Chevrolet Beat Diesel LT,2.2,2015.0,Individual,30000,Diesel,Manual,25.44,936.0,56.3,5.0
Toyota Fortuner 4x4 MT,20.0,2016.0,Individual,54500,Diesel,Manual,12.55,2982.0,168.5,7.0
Maruti Swift Vdi BSIII,1.7,2008.0,Individual,70000,Diesel,Manual,17.8,1248.0,75.0,5.0
Mahindra Xylo Celebration Edition,5.5,2011.0,Individual,80000,Diesel,Manual,14.0,2498.0,112.0,7.0
Honda City i VTEC VX,6.5,2015.0,Individual,50000,Petrol,Manual,17.4,1497.0,117.3,5.0
Hyundai EON Era Plus,2.0,2013.0,Individual,15000,Petrol,Manual,21.1,814.0,55.2,5.0
Maruti Alto K10 VXI Airbag,3.75,2019.0,Individual,12955,Petrol,Manual,23.95,998.0,67.1,5.0
Hyundai i10 Era,1.9,2008.0,Dealer,92000,Petrol,Manual,19.81,1086.0,68.05,5.0
Ford Figo Diesel Titanium,1.73,2012.0,Individual,80000,Diesel,Manual,20.0,1399.0,68.0,5.0
Skoda Rapid 1.5 TDI Active BSIV,6.5,2016.0,Individual,80000,Diesel,Manual,21.13,1498.0,108.6,5.0
Skoda Fabia 1.4 MPI Elegance,1.69,2009.0,Dealer,58000,Petrol,Manual,14.7,1390.0,85.0,5.0
Maruti Swift AMT VXI BSIV,6.75,2019.0,Trustmark Dealer,8043,Petrol,Automatic,22.0,1197.0,81.8,5.0
Honda Amaze S i-VTEC,4.75,2016.0,Dealer,35118,Petrol,Manual,17.8,1198.0,86.7,5.0
Maruti S-Cross 2017-2020 Alpha DDiS 200 SH,9.0,2018.0,Individual,50000,Diesel,Manual,25.1,1248.0,88.5,5.0
Tata Safari 2005-2017 EX 4x2,6.75,2014.0,Dealer,56000,Petrol,Manual,12.0,2092.0,127.0,7.0
Maruti Celerio ZXI MT BSIV,4.8,2019.0,Individual,10000,Petrol,Manual,23.1,998.0,67.04,5.0
Tata Indica Vista TDI LX,2.6,2012.0,Individual,120000,Diesel,Manual,19.4,1405.0,70.0,5.0
Hyundai Creta 1.6 CRDi AT SX Plus,10.5,2016.0,Dealer,52000,Diesel,Automatic,17.01,1582.0,126.2,5.0
Maruti Wagon R VXI,4.1,2018.0,Trustmark Dealer,16631,Petrol,Manual,20.51,998.0,67.04,5.0
Tata Indigo eLS BS IV,1.75,2013.0,Individual,78500,Diesel,Manual,25.0,1396.0,69.01,5.0
Hyundai i20 Active 1.2,5.2,2017.0,Individual,48000,Petrol,Manual,17.19,1197.0,81.86,5.0
Skoda Rapid 1.6 MPI AT Ambition Plus,2.39,2013.0,Individual,50000,Petrol,Automatic,14.3,1598.0,103.6,5.0
Maruti Wagon R LX BS IV,2.48,2013.0,Dealer,58000,Petrol,Manual,18.9,998.0,67.1,5.0
Tata Safari Storme EX,8.0,2014.0,Individual,50000,Diesel,Manual,14.0,2179.0,138.1,7.0
Hyundai i10 Sportz,3.65,2016.0,Dealer,47000,Petrol,Manual,20.36,1197.0,78.9,5.0
Honda Amaze S i-VTEC,4.7,2017.0,Individual,58900,Petrol,Manual,17.8,1198.0,86.7,5.0
Volvo XC 90 D5 AT AWD,12.0,2010.0,Dealer,80000,Diesel,Automatic,11.1,2400.0,200.0,7.0
Maruti Swift VDI BSIV,4.11,2013.0,Dealer,37000,Diesel,Manual,17.8,1248.0,5.0,5.0
Maruti Zen Estilo LXI BSIII,1.1,2007.0,Dealer,55000,Petrol,Manual,18.2,998.0,67.1,5.0
Hyundai Santro Asta BSIV,5.5,2019.0,Individual,30000,Petrol,Manual,20.3,1086.0,68.0,5.0
Maruti Wagon R VXI Minor,1.99,2010.0,Individual,147626,Petrol,Manual,18.9,1061.0,67.0,5.0
Hyundai i20 1.4 CRDi Sportz,3.68,2014.0,Dealer,67300,Diesel,Manual,23.0,1396.0,90.0,5.0
Renault Duster 110PS Diesel RxZ,5.5,2012.0,Individual,100000,Diesel,Manual,19.01,1461.0,108.45,5.0
Hyundai Elantra CRDi SX AT,7.95,2015.0,Dealer,65000,Diesel,Automatic,19.5,1582.0,126.24,5.0
Maruti Swift Ldi BSIII,2.5,2010.0,Individual,160000,Diesel,Manual,17.8,1248.0,75.0,5.0
Maruti Alto XCITE,1.7,2010.0,Individual,43000,Petrol,Manual,19.7,796.0,46.3,5.0
Hyundai i20 1.2 Magna Executive,5.5,2017.0,Dealer,44000,Petrol,Manual,18.6,1197.0,81.83,5.0
Maruti Wagon R VXI BS IV,4.0,2012.0,Individual,16000,Petrol,Manual,18.9,998.0,67.1,5.0
Skoda Rapid 1.5 TDI Elegance,5.5,2014.0,Individual,110000,Diesel,Manual,21.14,1498.0,103.52,5.0
Datsun GO Anniversary Edition,3.0,2017.0,Individual,20000,Petrol,Manual,20.63,1198.0,67.06,5.0
Mercedes-Benz E-Class E350 CDI Avantgrade,35.0,2016.0,Individual,29000,Diesel,Automatic,13.0,2987.0,265.0,5.0
Maruti Ciaz VDi Option SHVS,6.65,2017.0,Dealer,63500,Diesel,Manual,28.09,1248.0,88.5,5.0
Hyundai EON Era,1.95,2011.0,Dealer,60000,Petrol,Manual,21.1,814.0,55.2,5.0
Maruti Ertiga ZDI,6.5,2012.0,Individual,40000,Diesel,Manual,20.77,1248.0,88.8,7.0
Tata Indica DLE BSIII,0.8,2006.0,Individual,40000,Diesel,Manual,17.88,1396.0,52.8,5.0
Hyundai Grand i10 Asta Option,4.55,2016.0,Individual,46000,Petrol,Manual,18.9,1197.0,82.0,5.0
Chevrolet Beat LS,2.6,2012.0,Individual,90000,Petrol,Manual,18.6,1199.0,79.4,5.0
Maruti Swift ZXI,4.5,2014.0,Individual,70000,Petrol,Manual,18.6,1197.0,85.8,5.0
Hyundai Verna 1.6 SX,4.4,2012.0,Dealer,68812,Diesel,Manual,22.32,1582.0,126.32,5.0
Hyundai Santro Asta BSIV,5.5,2019.0,Individual,5000,Petrol,Manual,20.3,1086.0,68.0,5.0
Maruti Swift Dzire VXI,4.2,2013.0,Individual,110000,Petrol,Manual,19.1,1197.0,85.8,5.0
Renault Duster 110PS Diesel RxZ,4.5,2013.0,Dealer,56000,Diesel,Manual,19.01,1461.0,108.45,5.0
Renault Duster 110PS Diesel RxZ AMT,10.0,2017.0,Individual,40000,Diesel,Automatic,19.6,1461.0,108.45,5.0
Maruti Swift Dzire VDI,3.3,2013.0,Individual,120000,Diesel,Manual,23.4,1248.0,74.0,5.0
Ford Figo Diesel Titanium,2.75,2014.0,Individual,57000,Diesel,Manual,20.0,1399.0,68.05,5.0
Hyundai EON Era Plus,2.35,2014.0,Dealer,42000,Petrol,Manual,21.1,814.0,55.2,5.0
Toyota Fortuner 2016-2021 2.7 2WD AT BSIV,27.0,2017.0,Individual,50000,Petrol,Automatic,10.26,2694.0,163.7,7.0
Maruti 800 AC,1.2,2004.0,Individual,70000,Petrol,Manual,16.1,796.0,37.0,4.0
Mahindra Bolero DI,2.55,2010.0,Individual,120000,Diesel,Manual,13.6,2523.0,63.0,7.0
BMW 6 Series 640d Coupe,44.9,2015.0,Dealer,25000,Diesel,Automatic,9.52,2993.0,313.0,4.0
Renault Duster 85PS Diesel RxL Explore,4.5,2013.0,Dealer,61000,Diesel,Manual,19.87,1461.0,83.8,5.0
Honda Amaze S Petrol BSIV,6.51,2019.0,Individual,23000,Petrol,Manual,19.5,1199.0,88.76,5.0
Maruti Ertiga 1.5 VDI,6.75,2016.0,Dealer,52000,Diesel,Manual,24.2,1498.0,93.87,7.0
Hyundai i20 1.4 CRDi Era,5.49,2017.0,Dealer,42000,Diesel,Manual,23.0,1396.0,90.0,5.0
Nissan Micra Diesel XV Premium,3.0,2011.0,Individual,36000,Diesel,Manual,23.08,1461.0,63.1,5.0
Chevrolet Cruze LTZ,6.5,2014.0,Individual,60000,Diesel,Manual,17.9,1998.0,163.7,5.0
Maruti Swift Dzire Tour 2012-2018 LDI,5.2,2017.0,Dealer,28860,Diesel,Manual,23.4,1248.0,74.0,5.0
Maruti Wagon R VXI,3.75,2016.0,Dealer,26000,Petrol,Manual,18.9,998.0,67.1,5.0
Mahindra Ingenio CRDe,3.0,2012.0,Individual,30000,Diesel,Manual,0.0,2489.0,5.0,2.0
Maruti Alto K10 2010-2014 VXI,2.25,2012.0,Individual,10000,Petrol,Manual,20.92,998.0,67.1,5.0
Maruti Swift Dzire VXi,3.15,2011.0,Individual,70000,Petrol,Manual,17.5,1298.0,85.8,5.0
Hyundai EON Era Plus,2.5,2015.0,Individual,70000,Petrol,Manual,21.1,814.0,55.2,5.0
Tata Manza Aura (ABS) Quadrajet,2.19,2010.0,Individual,120000,Diesel,Manual,18.8,1248.0,90.0,5.0
Maruti Swift Dzire VDI,6.5,2018.0,Individual,20000,Diesel,Manual,28.4,1248.0,74.02,5.0
Maruti Baleno Alpha 1.3,5.1,2015.0,Dealer,63000,Diesel,Manual,27.39,1248.0,74.0,5.0
Maruti Swift VDI,3.5,2013.0,Dealer,90145,Diesel,Manual,28.4,1248.0,74.0,5.0
Honda Accord V6 AT,2.4,2007.0,Dealer,64000,Petrol,Automatic,9.0,2997.0,218.0,5.0
BMW X1 sDrive20d,12.0,2012.0,Individual,50000,Diesel,Automatic,17.05,1995.0,184.0,5.0
Honda City i VTEC V,9.0,2016.0,Individual,5000,Petrol,Manual,17.8,1497.0,117.3,5.0
Maruti SX4 ZDI,3.5,2012.0,Individual,81300,Diesel,Manual,21.5,1248.0,88.8,5.0
Tata Nexon 1.2 Revotron XZ Plus,7.0,2018.0,Individual,60000,Petrol,Manual,17.0,1198.0,108.5,5.0
Maruti Baleno Zeta 1.2,5.9,2017.0,Dealer,25000,Petrol,Manual,21.4,1197.0,83.1,5.0
Toyota Innova Crysta 2016-2020 2.8 GX AT BSIV,18.25,2019.0,Dealer,31999,Diesel,Automatic,11.36,2755.0,171.5,7.0
Honda City 1.5 S MT,2.95,2009.0,Dealer,59915,Petrol,Manual,17.0,1497.0,118.0,5.0
Mahindra XUV500 W7 BSIV,14.5,2019.0,Individual,31000,Diesel,Manual,15.1,2179.0,152.87,7.0
Mercedes-Benz GL-Class 350 CDI Blue Efficiency,34.95,2014.0,Dealer,51000,Diesel,Automatic,11.3,2987.0,254.8,7.0
Hyundai i20 1.2 Spotz,5.84,2018.0,Individual,50000,Petrol,Manual,18.6,1197.0,81.83,5.0
Hyundai i20 1.2 Asta,6.2,2018.0,Individual,50000,Petrol,Manual,18.6,1197.0,81.83,5.0
Maruti Swift Dzire VXI,3.5,2015.0,Individual,120000,Petrol,Manual,20.85,1197.0,83.14,5.0
Hyundai Grand i10 CRDi Sportz,3.65,2013.0,Dealer,32000,Diesel,Manual,24.0,1120.0,70.0,5.0
Hyundai EON Era Plus,2.5,2015.0,Individual,30000,Petrol,Manual,21.1,814.0,55.2,5.0
Maruti Ertiga BSIV VXI,6.35,2016.0,Dealer,30000,Petrol,Manual,17.5,1373.0,91.1,7.0
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,8.51,2014.0,Dealer,54800,Diesel,Manual,12.99,2494.0,100.0,7.0
Hyundai Xcent 1.2 Kappa S,4.0,2016.0,Individual,70000,Petrol,Manual,19.1,1197.0,82.0,5.0
Maruti Swift VXI,4.5,2013.0,Individual,13000,Petrol,Manual,18.6,1197.0,85.8,5.0
Hyundai Xcent 1.1 CRDi SX,4.5,2016.0,Individual,227000,Diesel,Manual,24.4,1120.0,71.0,5.0
Ford Ecosport 1.5 DV5 MT Trend,4.6,2014.0,Dealer,60000,Diesel,Manual,22.7,1498.0,89.84,5.0
Honda City i-VTEC S,8.0,2018.0,Dealer,41000,Petrol,Manual,17.4,1497.0,117.3,5.0
BMW 5 Series 520d,9.99,2011.0,Dealer,85000,Diesel,Automatic,18.48,1995.0,177.0,5.0
Hyundai i20 Asta Option 1.4 CRDi,5.4,2016.0,Individual,55000,Diesel,Manual,22.54,1396.0,88.73,5.0
Maruti Swift Dzire VDI,4.8,2015.0,Individual,80000,Diesel,Manual,26.59,1248.0,74.0,5.0
Tata Indica Vista Terra 1.4 TDI,2.5,2010.0,Individual,19600,Diesel,Manual,17.0,1405.0,71.0,5.0
Maruti Swift Dzire VDI,4.5,2014.0,Individual,60000,Diesel,Manual,23.4,1248.0,74.0,5.0
Mahindra Scorpio 1.99 S10 4WD,10.65,2016.0,Dealer,46000,Diesel,Manual,15.4,1997.0,120.0,7.0
Renault Duster 85PS Diesel RxS,7.3,2018.0,Individual,77000,Diesel,Manual,19.87,1461.0,83.8,5.0
Toyota Innova 2.5 G (Diesel) 8 Seater,8.2,2015.0,Individual,60200,Diesel,Manual,12.99,2494.0,100.6,8.0
Mercedes-Benz C-Class C 200 CGI Avantgarde,9.0,2011.0,Individual,60000,Petrol,Automatic,11.74,1796.0,186.0,5.0
Renault KWID RXT 02 Anniversary Edition,3.0,2017.0,Individual,30000,Petrol,Manual,25.17,799.0,53.3,5.0
Ford Ecosport 2015-2021 1.5 TDCi Trend BSIV,3.5,2013.0,Dealer,98813,Diesel,Manual,22.77,1498.0,98.59,5.0
Skoda Fabia 1.2 MPI Ambition Plus,2.9,2013.0,Dealer,36000,Petrol,Manual,16.25,1198.0,75.0,5.0
Mercedes-Benz GLA Class 200 Sport,29.35,2019.0,Dealer,16000,Petrol,Automatic,13.7,1991.0,183.0,5.0
Maruti Alto 800 LX,1.98,2016.0,Individual,120000,Petrol,Manual,22.74,796.0,47.3,5.0
BMW 3 Series 320d Luxury Line,23.5,2017.0,Dealer,15000,Diesel,Automatic,18.88,1995.0,184.0,5.0
Maruti Swift Dzire VDI,4.01,2013.0,Individual,80000,Diesel,Manual,23.4,1248.0,74.0,5.0
Ford Ecosport 2015-2021 1.5 Ti VCT MT Titanium BSIV,6.3,2016.0,Dealer,27000,Petrol,Manual,15.85,1499.0,110.4,5.0
Hyundai Verna VTVT 1.6 AT SX Option,12.5,2019.0,Dealer,4000,Petrol,Automatic,17.0,1591.0,121.3,5.0
Hyundai i20 Sportz Option 1.4 CRDi,4.0,2014.0,Individual,60000,Diesel,Manual,22.54,1396.0,88.73,5.0
Maruti Swift VDI,4.5,2015.0,Dealer,45000,Diesel,Manual,22.9,1248.0,74.0,5.0
Volkswagen Vento 1.5 TDI Highline,4.35,2014.0,Dealer,95000,Diesel,Manual,20.34,1498.0,103.2,5.0
Honda BRV i-VTEC E MT,8.57,2018.0,Individual,25000,Petrol,Manual,15.4,1497.0,117.3,7.0
Volkswagen Ameo 1.2 MPI Comfortline,5.5,2018.0,Individual,25000,Petrol,Manual,17.0,1198.0,73.75,5.0
Maruti Swift VXI Optional,4.5,2015.0,Individual,30000,Petrol,Manual,20.4,1197.0,81.8,5.0
Maruti Vitara Brezza ZDi Plus Dual Tone,8.25,2017.0,Individual,79000,Diesel,Manual,24.3,1248.0,88.5,5.0
Hyundai Grand i10 Magna,4.04,2015.0,Dealer,50283,Petrol,Manual,18.9,1197.0,82.0,5.0
Honda City 1.5 S MT,3.0,2010.0,Individual,80000,Petrol,Manual,17.0,1497.0,118.0,5.0
Hyundai i20 Asta 1.2,4.5,2014.0,Individual,110000,Petrol,Manual,18.5,1197.0,82.85,5.0
Toyota Innova 2.5 V Diesel 7-seater,5.0,2007.0,Individual,200000,Diesel,Manual,12.8,2494.0,102.0,7.0
Honda Jazz VX Diesel,4.5,2015.0,Dealer,65000,Diesel,Manual,27.3,1498.0,98.6,5.0
Datsun GO T BSIV,4.3,2018.0,Individual,21500,Petrol,Manual,20.63,1198.0,67.0,5.0
Hyundai i20 1.2 Magna,2.6,2011.0,Dealer,52000,Petrol,Manual,18.5,1197.0,80.0,5.0
Maruti Alto 800 LXI,2.35,2016.0,Individual,50000,Petrol,Manual,22.74,796.0,47.3,5.0
Maruti Baleno Delta 1.2,5.8,2018.0,Individual,20000,Petrol,Manual,21.4,1197.0,83.1,5.0
Fiat Avventura Power Up 1.3 Emotion,6.9,2017.0,Individual,15000,Diesel,Manual,20.5,1248.0,91.72,5.0
Volkswagen Vento 1.5 TDI Comfortline AT,6.4,2016.0,Dealer,60000,Diesel,Automatic,21.5,1498.0,108.5,5.0
Renault KWID 1.0,3.67,2018.0,Individual,20000,Petrol,Manual,23.01,999.0,67.0,5.0
Datsun GO Plus T BSIV,4.25,2017.0,Individual,24000,Petrol,Manual,19.44,1198.0,67.0,7.0
Maruti Swift Dzire ZDI Plus,7.4,2018.0,Individual,60000,Diesel,Manual,28.4,1248.0,74.02,5.0
Tata Tiago 1.05 Revotorq XT,4.0,2017.0,Individual,80000,Diesel,Manual,27.28,1047.0,69.0,5.0
Tata Indigo LX (TDI) BS III,1.5,2011.0,Individual,120000,Diesel,Manual,19.09,1396.0,69.0,5.0
Maruti Swift Dzire LDI,3.9,2013.0,Dealer,45000,Diesel,Manual,23.4,1248.0,74.0,5.0
Toyota Corolla Altis VL AT,9.75,2016.0,Dealer,44000,Petrol,Automatic,14.28,1798.0,138.03,5.0
Maruti SX4 Vxi BSIV,2.1,2008.0,Dealer,44000,Petrol,Manual,16.51,1586.0,103.2,5.0
Tata Tiago 1.2 Revotron XZ Plus,5.7,2019.0,Individual,15000,Petrol,Manual,23.84,1199.0,84.0,5.0
Hyundai Santro Sportz AMT,5.8,2019.0,Dealer,4540,Petrol,Automatic,20.3,1086.0,68.07,5.0
Tata Safari Storme LX,6.25,2015.0,Individual,50000,Diesel,Manual,14.0,2179.0,138.1,7.0
Hyundai Grand i10 1.2 Kappa Sportz BSIV,5.2,2018.0,Individual,41000,Petrol,Manual,18.9,1197.0,81.86,5.0
Maruti Swift Dzire VDi,4.5,2014.0,Dealer,50900,Diesel,Manual,19.3,1248.0,73.9,5.0
Maruti Swift LXI Optional-O,4.5,2017.0,Dealer,55000,Petrol,Manual,20.4,1197.0,83.11,5.0
Maruti Swift VXI,4.25,2014.0,Dealer,75727,Petrol,Manual,21.21,1197.0,81.8,5.0
Maruti Baleno Alpha 1.2,6.8,2018.0,Individual,20000,Petrol,Manual,21.4,1197.0,83.1,5.0
Hyundai i20 Magna Plus BSIV,6.25,2019.0,Individual,20000,Petrol,Manual,18.6,1197.0,81.86,5.0
Audi A4 35 TDI Premium Plus,12.5,2013.0,Dealer,29000,Diesel,Automatic,18.25,1968.0,187.74,5.0
Maruti Swift VDI,3.49,2012.0,Dealer,62000,Diesel,Manual,22.9,1248.0,74.0,5.0
Maruti Alto K10 2010-2014 VXI,2.2,2013.0,Individual,70000,Petrol,Manual,20.92,998.0,67.1,5.0
Honda City V MT,3.6,2010.0,Dealer,49000,Petrol,Manual,17.4,1497.0,117.6,5.0
Mahindra Scorpio VLX 2WD ABS AT BSIII,4.8,2011.0,Individual,137000,Diesel,Automatic,11.79,2179.0,120.0,8.0
Tata Bolt Revotron XM,3.8,2016.0,Individual,20000,Petrol,Manual,17.57,1193.0,88.7,5.0
Toyota Fortuner 4x2 Manual,14.75,2015.0,Dealer,96000,Diesel,Manual,13.0,2982.0,168.5,7.0
Mahindra Xylo E9,3.45,2012.0,Individual,50000,Diesel,Manual,13.0,2179.0,120.0,8.0
Maruti Baleno Alpha,7.5,2019.0,Trustmark Dealer,5808,Petrol,Manual,21.01,1197.0,81.8,5.0
Maruti Baleno Alpha 1.2,6.9,2017.0,Individual,8245,Petrol,Manual,21.4,1197.0,83.1,5.0
Honda Jazz 1.5 VX i DTEC,7.2,2016.0,Individual,73000,Diesel,Manual,27.3,1498.0,98.6,5.0
Fiat Abarth Punto EVO 1.4 T-Jet,5.5,2016.0,Individual,35000,Petrol,Manual,16.3,1368.0,145.0,5.0
Ford Ecosport 2015-2021 1.5 Diesel Titanium BSIV,5.3,2015.0,Dealer,69997,Diesel,Manual,23.0,1498.0,98.96,5.0
Maruti Vitara Brezza ZDi AMT,9.4,2019.0,Individual,35000,Diesel,Automatic,24.3,1248.0,88.5,5.0
Tata Indica eLX,2.5,2011.0,Individual,20000,Diesel,Manual,25.0,1396.0,69.0,5.0
Hyundai Santro Sportz BSIV,5.0,2019.0,Individual,10000,Petrol,Manual,20.3,1086.0,68.0,5.0
Maruti Eeco 5 Seater AC BSIV,3.4,2019.0,Individual,13000,Petrol,Manual,15.37,1196.0,73.0,5.0
Honda New Accord 2011-2014 2.4 A/T,3.65,2009.0,Dealer,50060,Petrol,Automatic,11.7,2354.0,177.6,5.0
Tata Indica Vista TDI LX,1.2,2012.0,Individual,120000,Diesel,Manual,19.4,1405.0,70.0,5.0
Honda Mobilio S i DTEC,4.5,2015.0,Individual,110000,Diesel,Manual,24.2,1498.0,98.6,7.0
Maruti Vitara Brezza VDi Option,7.75,2017.0,Dealer,20000,Diesel,Manual,24.3,1248.0,88.5,5.0
Hyundai Santro Xing XP,1.2,2005.0,Individual,100000,Petrol,Manual,0.0,1086.0,5.0,5.0
Maruti Swift DDiS VDI,4.1,2015.0,Dealer,68251,Diesel,Manual,28.4,1248.0,74.0,5.0
Hyundai Creta 1.6 VTVT AT SX Plus,11.25,2017.0,Dealer,36000,Petrol,Automatic,13.0,1591.0,121.3,5.0
Renault Pulse RxL Optional,4.5,2016.0,Individual,30000,Diesel,Manual,23.08,1461.0,63.1,5.0
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,6.0,2011.0,Individual,60000,Diesel,Manual,12.8,2494.0,102.0,8.0
Chevrolet Sail 1.2 Base,3.99,2017.0,Individual,35000,Petrol,Manual,18.2,1199.0,82.4,5.0
Mahindra Scorpio 1.99 S10 4WD,10.5,2015.0,Individual,60000,Diesel,Manual,15.4,1997.0,120.0,7.0
Toyota Fortuner 4x4 AT,16.5,2015.0,Individual,112000,Diesel,Automatic,12.55,2982.0,168.5,7.0
Mercedes-Benz GLE Class 250d,39.99,2016.0,Dealer,29000,Diesel,Automatic,17.9,2143.0,201.15,5.0
Toyota Etios V,4.0,2013.0,Individual,50000,Petrol,Manual,16.78,1496.0,88.73,5.0
Maruti Wagon R VXI Plus,3.75,2018.0,Individual,60000,Petrol,Manual,20.51,998.0,67.04,5.0
Honda Amaze S i-VTEC,5.0,2017.0,Dealer,28000,Petrol,Manual,17.8,1198.0,86.7,5.0
Maruti Swift VDI,4.85,2016.0,Dealer,42000,Diesel,Manual,28.4,1248.0,74.0,5.0
Maruti Swift VDI,4.2,2015.0,Individual,90000,Diesel,Manual,28.4,1248.0,74.0,5.0
Hyundai i20 Active 1.2 S,6.0,2017.0,Individual,35000,Petrol,Manual,17.19,1197.0,81.86,5.0
Honda City 1.5 S MT,3.0,2011.0,Dealer,50000,Petrol,Manual,17.0,1497.0,118.0,5.0
Volkswagen Polo 2015-2019 1.5 TDI Highline,6.3,2016.0,Individual,100000,Diesel,Manual,20.14,1498.0,88.0,5.0
Toyota Camry 2.5 Hybrid,19.95,2016.0,Dealer,80000,Petrol,Automatic,19.16,2494.0,157.7,5.0
Tata Safari Storme EX,6.0,2013.0,Individual,120000,Diesel,Manual,14.0,2179.0,138.1,7.0
Mahindra XUV500 W8 2WD,5.8,2013.0,Dealer,63000,Diesel,Manual,15.1,2179.0,140.0,7.0
Toyota Fortuner 4x2 Manual,13.0,2013.0,Dealer,65000,Diesel,Manual,13.0,2982.0,168.5,7.0
Maruti Alto K10 VXI,2.35,2012.0,Trustmark Dealer,24943,Petrol,Manual,23.95,998.0,67.05,5.0
Mahindra Scorpio S3 9 Seater BSIV,10.11,2018.0,Dealer,48976,Diesel,Manual,15.4,2523.0,75.0,7.0
Maruti Wagon R LXI Minor,1.25,2008.0,Individual,110000,Petrol,Manual,18.9,1061.0,67.0,5.0
Maruti Wagon R VXI,4.0,2018.0,Individual,25000,Petrol,Manual,20.51,998.0,67.04,5.0
Mahindra Scorpio LX,6.0,2012.0,Individual,110000,Diesel,Manual,12.05,2179.0,120.0,9.0
Mahindra XUV500 W10 AWD,9.25,2015.0,Dealer,55000,Diesel,Manual,16.0,2179.0,140.0,7.0
Toyota Innova Crysta 2016-2020 2.8 GX AT BSIV,14.25,2017.0,Dealer,136226,Diesel,Automatic,11.36,2755.0,171.5,7.0
Mahindra Thar CRDe AC,4.75,2013.0,Dealer,49000,Diesel,Manual,16.55,2498.0,105.0,6.0
Toyota Innova 2.5 V Diesel 8-seater,6.0,2009.0,Individual,250000,Diesel,Manual,12.8,2494.0,102.0,8.0
Maruti Vitara Brezza VDi,7.85,2017.0,Dealer,24000,Diesel,Manual,24.3,1248.0,88.5,5.0
Hyundai i20 Active 1.2 S,6.6,2017.0,Individual,7500,Petrol,Manual,17.19,1197.0,81.86,5.0
Datsun GO T Option BSIV,2.35,2016.0,Individual,50000,Petrol,Manual,20.63,1198.0,67.0,5.0
Toyota Etios G,3.25,2011.0,Individual,70000,Petrol,Manual,17.6,1496.0,88.73,5.0
Maruti Wagon R VXI BS IV,2.3,2012.0,Individual,20000,Petrol,Manual,18.9,998.0,67.1,5.0
Tata Zest Quadrajet 1.3 75PS XMS,4.0,2017.0,Individual,160000,Diesel,Manual,22.95,1248.0,74.0,5.0
Hyundai Grand i10 1.2 Kappa Asta,6.0,2018.0,Individual,15000,Petrol,Manual,18.9,1197.0,81.86,5.0
Honda BRV i-DTEC S MT,7.75,2016.0,Individual,35000,Diesel,Manual,21.9,1498.0,98.6,7.0
Tata Indica eLX,1.5,2014.0,Individual,70000,Diesel,Manual,25.0,1396.0,69.0,5.0
Maruti Ciaz Alpha Diesel,10.95,2019.0,Dealer,15260,Diesel,Manual,28.09,1248.0,88.5,5.0
Renault Duster 85PS Diesel RxL Option,5.0,2012.0,Individual,58000,Diesel,Manual,19.87,1461.0,83.8,5.0
Toyota Innova 2.5 G (Diesel) 7 Seater,7.75,2014.0,Dealer,60000,Diesel,Manual,12.99,2494.0,100.6,7.0
Toyota Corolla Altis D-4D GL,12.0,2015.0,Dealer,26000,Diesel,Manual,21.43,1364.0,87.2,5.0
